id	geneset_id	gene_id
1	1	16384
2	1	3592
3	1	10760
4	1	9226
5	1	12810
6	1	3599
7	1	11296
8	1	9253
9	1	11816
10	1	11316
11	1	10298
12	1	10299
13	1	11324
14	1	10301
15	1	10302
16	1	10303
17	1	10304
18	1	10305
19	1	10306
20	1	5187
21	1	10307
22	1	33861
23	1	10310
24	1	10311
25	1	10312
26	1	10313
27	1	10315
28	1	1616
29	1	1617
30	1	24656
31	1	6737
32	1	1620
33	1	1622
34	1	24662
35	1	10327
36	1	10328
37	1	10329
38	1	10330
39	1	10332
40	1	10331
41	1	10333
42	1	10334
43	1	10336
44	1	40029
45	1	29787
46	1	10852
47	1	1125
48	1	10344
49	1	28777
50	1	23656
51	1	10347
52	1	620
53	1	10348
54	1	10350
55	1	10353
56	1	10354
57	1	10359
58	1	10360
59	1	8824
60	1	10362
61	1	10363
62	1	10364
63	1	29821
64	1	10368
65	1	10369
66	1	10371
67	1	10372
68	1	3208
69	1	3720
70	1	10377
71	1	3211
72	1	10380
73	1	21645
74	1	3213
75	1	3214
76	1	5261
77	1	10383
78	1	17042
79	1	10384
80	1	10386
81	1	10387
82	1	10388
83	1	10389
84	1	4248
85	1	27797
86	1	12441
87	1	6812
88	1	10396
89	1	10397
90	1	15519
91	1	10401
92	1	10402
93	1	10404
94	1	10405
95	1	7849
96	1	7850
97	1	10409
98	1	10410
99	1	10411
100	1	10413
101	1	12458
102	1	10416
103	1	8881
104	1	10417
105	1	10418
106	1	10420
107	1	10421
108	1	2744
109	1	23736
110	1	10424
111	1	10426
112	1	17083
113	1	10429
114	1	10937
115	1	3267
116	1	32965
117	1	10440
118	1	10441
119	1	3274
120	1	3275
121	1	10442
122	1	3277
123	1	14034
124	1	3282
125	1	30423
126	1	1243
127	1	14054
128	1	7910
129	1	10983
130	1	12009
131	1	29931
132	1	10475
133	1	1773
134	1	10992
135	1	15608
136	1	5383
137	1	12556
138	1	12562
139	1	3350
140	1	18211
141	1	14628
142	1	6950
143	1	20778
144	1	12587
145	1	12590
146	1	26934
147	1	6971
148	1	13631
149	1	33101
150	1	5457
151	1	343
152	1	11100
153	1	6502
154	1	4458
155	1	17259
156	1	8554
157	1	4983
158	1	18808
159	1	25982
160	1	12672
161	1	16264
162	1	8587
163	1	24460
164	1	6541
165	1	11153
166	1	20371
167	1	6037
168	1	6038
